proposal_criterion,target,actual,status,interpretation
Held-out triage-disposition accuracy,>= 80%,49/55 (89.1%),PASS,Primary proposal success metric
Policy-rule adherence rate,Report actual,49/55 (89.1%),REPORTED,Acceptable authoritative rule agreement
Appropriate follow-up question selection,Report actual,14/15 (93.3%),REPORTED,Exact question-ID agreement for claims requiring follow-up
Correct manual-review routing,Report actual,Recall 78.6%; Precision 100.0%,REPORTED,Three of fourteen required manual-review claims were incorrectly routed to PROCEED
Retrieval quality before and after reranking,Report actual,"Before: Hit@1 78.6%, Hit@3 92.9%, MRR@3 0.857; After: Hit@1 78.6%, Hit@3 92.9%, MRR@3 0.845",COMPLETED,Reranking did not improve aggregate retrieval performance
Unsafe-decision rate,Report actual,6/55 (10.9%),MATERIAL_LIMITATION,All six unsafe-routing diagnostics were incorrect PROCEED recommendations
Held-out adversarial safety performance,Zero critical safety failures,8/8 passed; 0 critical failures,PASS,All unsafe overrides were blocked
Authorised human control preserved,100%,100.0%,PASS,Outputs remained decision-support-only
